"","phon","start","end","word"
"144","IH1",18.374,18.444,"IS"
"145","Z",18.444,18.503,"IS"
"146","HH",18.503,18.534,"HID"
"147","IH1",18.534,18.694,"HID"
"148","D",18.694,18.733,"HID"
"149","sp",18.733,19.204,"sp"
"150","B",19.204,19.244,"BAD"
"151","AE1",19.244,19.554,"BAD"
"152","D",19.554,19.654,"BAD"
"153","DH",19.654,19.694,"THE"
"154","AH0",19.694,19.753,"THE"
"155","W",19.753,19.864,"WORD"
"156","ER1",19.864,19.894,"WORD"
"157","D",19.894,19.924,"WORD"
"158","IH1",19.924,19.954,"IS"
"159","Z",19.954,20.034,"IS"
"160","B",20.034,20.114,"BAD"
"161","AE1",20.114,20.294,"BAD"
"162","D",20.294,20.343,"BAD"
"163","sp",20.343,20.823,"sp"
"164","B",20.823,20.894,"BOO'D"
"165","UW1",20.894,21.054,"BOO'D"
"166","D",21.054,21.204,"BOO'D"
"167","sp",21.204,21.544,"sp"
"168","DH",21.544,21.593,"THE"
"169","AH0",21.593,21.644,"THE"
"170","W",21.644,21.744,"WORD"
"171","ER1",21.744,21.814,"WORD"
"172","D",21.814,21.834,"WORD"
"173","IH1",21.834,21.904,"IS"
"174","Z",21.904,21.994,"IS"
"175","B",21.994,22.093,"BOO'D"
"176","UW1",22.093,22.253,"BOO'D"
"177","D",22.253,22.394,"BOO'D"
"178","sp",22.394,22.684,"sp"
"179","HH",22.684,22.854,"HAW'D"
"180","AO1",22.854,23.034,"HAW'D"
"181","D",23.034,23.154,"HAW'D"
"182","sp",23.154,23.323,"sp"
"183","DH",23.323,23.364,"THE"
"184","AH0",23.364,23.394,"THE"
"185","W",23.394,23.514,"WORD"
"186","ER1",23.514,23.554,"WORD"
"187","D",23.554,23.573,"WORD"
"188","IH1",23.573,23.634,"IS"
"189","Z",23.634,23.704,"IS"
"190","HH",23.704,23.794,"HAW'D"
"191","AO1",23.794,23.974,"HAW'D"
"192","D",23.974,24.124,"HAW'D"
"193","sp",24.124,24.413,"sp"
"194","B",24.413,24.444,"BUN"
"195","AH1",24.444,24.644,"BUN"
"196","N",24.644,24.774,"BUN"
"197","sp",24.774,25.104,"sp"
"198","DH",25.104,25.154,"THE"
"199","AH0",25.154,25.184,"THE"
"200","W",25.184,25.294,"WORD"
"201","ER1",25.294,25.334,"WORD"
"202","D",25.334,25.384,"WORD"
"203","AH0",25.384,25.434,"IS"
"204","Z",25.434,25.524,"IS"
"205","B",25.524,25.554,"BUN"
"206","AH1",25.554,25.733,"BUN"
"207","N",25.733,25.994,"BUN"
"208","sp",25.994,26.573,"sp"
"209","HH",26.573,26.724,"HEED"
"210","IY1",26.724,26.884,"HEED"
"211","D",26.884,26.944,"HEED"
"212","sp",26.944,27.044,"sp"
"213","DH",27.044,27.093,"THE"
"214","AH0",27.093,27.134,"THE"
"215","W",27.134,27.224,"WORD"
"216","ER1",27.224,27.274,"WORD"
"217","D",27.274,27.323,"WORD"
"218","IH1",27.323,27.384,"IS"
"219","Z",27.384,27.413,"IS"
"220","HH",27.413,27.573,"HEED"
"221","IY1",27.573,27.733,"HEED"
"222","D",27.733,27.804,"HEED"
"223","sp",27.804,28.174,"sp"
"224","B",28.174,28.224,"BONE"
"225","OW1",28.224,28.424,"BONE"
"226","N",28.424,28.524,"BONE"
"227","sp",28.524,28.864,"sp"
"228","DH",28.864,28.934,"THE"
"229","AH0",28.934,28.983,"THE"
"230","W",28.983,29.084,"WORD"
"231","ER1",29.084,29.114,"WORD"
"232","D",29.114,29.134,"WORD"
"233","IH1",29.134,29.184,"IS"
"234","Z",29.184,29.253,"IS"
"235","sp",29.253,29.274,"sp"
"236","B",29.274,29.343,"BONE"
"237","OW1",29.343,29.524,"BONE"
"238","N",29.524,29.564,"BONE"
"239","sp",29.564,29.904,"sp"
"240","B",29.904,29.954,"BEN"
"241","EH1",29.954,30.093,"BEN"
"242","N",30.093,30.184,"BEN"
"243","sp",30.184,30.494,"sp"
"244","DH",30.494,30.544,"THE"
"245","AH0",30.544,30.593,"THE"
"246","W",30.593,30.694,"WORD"
"247","ER1",30.694,30.733,"WORD"
"248","D",30.733,30.753,"WORD"
"249","IH1",30.753,30.823,"IS"
"250","Z",30.823,30.904,"IS"
"251","sp",30.904,30.944,"sp"
"252","B",30.944,30.983,"BEN"
"253","EH1",30.983,31.084,"BEN"
"254","N",31.084,31.144,"BEN"
"255","sp",31.144,31.514,"sp"
"256","B",31.514,31.554,"BODE"
"257","OW1",31.554,31.753,"BODE"
"258","D",31.753,31.794,"BODE"
"259","sp",31.794,32.003,"sp"
"260","DH",32.003,32.044,"THE"
"261","AH0",32.044,32.093,"THE"
"262","W",32.093,32.194,"WORD"
"263","ER1",32.194,32.224,"WORD"
"264","D",32.224,32.244,"WORD"
"265","IH1",32.244,32.284,"IS"
"266","Z",32.284,32.374,"IS"
"267","sp",32.374,32.424,"sp"
"268","B",32.424,32.464,"BODE"
"269","OW1",32.464,32.634,"BODE"
"270","D",32.634,32.734,"BODE"
"271","sp",32.734,32.994,"sp"
"272","HH",32.994,33.074,"HEY'D"
"273","EY1",33.074,33.264,"HEY'D"
"274","D",33.264,33.344,"HEY'D"
"275","sp",33.344,34.014,"sp"
"276","DH",34.014,34.064,"THE"
"277","AH0",34.064,34.104,"THE"
"278","W",34.104,34.174,"WORD"
"279","ER1",34.174,34.214,"WORD"
"280","D",34.214,34.234,"WORD"
"281","IH1",34.234,34.294,"IS"
"282","Z",34.294,34.354,"IS"
"283","HH",34.354,34.394,"HEY'D"
"284","EY1",34.394,34.714,"HEY'D"
"285","D",34.714,34.834,"HEY'D"
"286","sp",34.834,35.024,"sp"
"287","HH",35.024,35.124,"HUD"
"288","AH1",35.124,35.234,"HUD"
"289","D",35.234,35.294,"HUD"
"290","sp",35.294,35.744,"sp"
"291","DH",35.744,35.814,"THE"
"292","AH0",35.814,35.854,"THE"
"293","W",35.854,35.954,"WORD"
"294","ER1",35.954,36.004,"WORD"
"295","D",36.004,36.024,"WORD"
"296","IH1",36.024,36.054,"IS"
"297","Z",36.054,36.154,"IS"
"298","HH",36.154,36.344,"HUD"
"299","AH1",36.344,36.444,"HUD"
"300","D",36.444,36.484,"HUD"
"301","sp",36.484,37.034,"sp"
"302","HH",37.034,37.154,"HEAD"
"303","EH1",37.154,37.244,"HEAD"
"304","D",37.244,37.394,"HEAD"
"305","sp",37.394,37.644,"sp"
"306","DH",37.644,37.704,"THE"
"307","AH0",37.704,37.734,"THE"
"308","W",37.734,37.834,"WORD"
"309","ER1",37.834,37.874,"WORD"
"310","D",37.874,37.904,"WORD"
"311","IH1",37.904,38.294,"IS"
"312","Z",38.294,38.324,"IS"
"313","HH",38.324,38.374,"HEAD"
"314","EH1",38.374,38.404,"HEAD"
"315","D",38.404,38.434,"HEAD"
"316","sp",38.434,38.834,"sp"
"317","B",38.834,38.874,"BID"
"318","IH1",38.874,39.034,"BID"
"319","D",39.034,39.074,"BID"
"320","sp",39.074,39.344,"sp"
"321","DH",39.344,39.404,"THE"
"322","AH0",39.404,39.434,"THE"
"323","W",39.434,39.554,"WORD"
"324","ER1",39.554,39.604,"WORD"
"325","D",39.604,39.634,"WORD"
"326","IH1",39.634,39.704,"IS"
"327","Z",39.704,39.764,"IS"
"328","B",39.764,39.854,"BID"
"329","IH1",39.854,39.984,"BID"
"330","D",39.984,40.024,"BID"
"331","sp",40.024,40.534,"sp"
"332","HH",40.534,40.624,"HAD"
"333","AE1",40.624,40.864,"HAD"
"334","D",40.864,40.984,"HAD"
"335","sp",40.984,41.374,"sp"
"336","DH",41.374,41.424,"THE"
"337","AH0",41.424,41.494,"THE"
"338","W",41.494,41.634,"WORD"
"339","ER1",41.634,41.684,"WORD"
"340","D",41.684,41.704,"WORD"
